2025-12-08 08:37:17 INFO: Starting scalper for BTCUSD M1 — 2025-12-08T08:37:17.893432
2025-12-08 08:37:17 INFO: PRICE NOW: 91357.89 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90592.51
2025-12-08 08:37:18 INFO: PRICE NOW: 91365.42 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90592.66
2025-12-08 08:37:19 INFO: PRICE NOW: 91365.64 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90592.66
2025-12-08 08:37:20 INFO: PRICE NOW: 91365.64 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90592.66
2025-12-08 08:37:21 INFO: PRICE NOW: 91352.08 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90592.40
2025-12-08 08:37:22 INFO: PRICE NOW: 91357.11 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90592.50
2025-12-08 08:37:23 INFO: PRICE NOW: 91375.17 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90592.85
2025-12-08 08:37:25 INFO: PRICE NOW: 91373.81 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90592.83
2025-12-08 08:37:26 INFO: PRICE NOW: 91392.19 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90593.19
2025-12-08 08:37:27 INFO: PRICE NOW: 91380.29 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90592.95
2025-12-08 08:37:28 INFO: PRICE NOW: 91362.32 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90592.60
2025-12-08 08:37:29 INFO: PRICE NOW: 91357.74 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90592.51
2025-12-08 08:37:30 INFO: PRICE NOW: 91355.58 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90592.47
2025-12-08 08:37:31 INFO: PRICE NOW: 91355.58 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90592.47
2025-12-08 08:37:32 INFO: PRICE NOW: 91380.25 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90592.95
2025-12-08 08:37:33 INFO: PRICE NOW: 91382.20 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90592.99
2025-12-08 08:37:34 INFO: PRICE NOW: 91393.40 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90593.21
2025-12-08 08:37:35 INFO: PRICE NOW: 91389.58 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90593.14
2025-12-08 08:37:36 INFO: PRICE NOW: 91395.30 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90593.25
2025-12-08 08:37:37 INFO: PRICE NOW: 91381.67 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90592.98
2025-12-08 08:37:38 INFO: PRICE NOW: 91399.35 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90593.33
2025-12-08 08:37:39 INFO: PRICE NOW: 91411.10 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90593.56
2025-12-08 08:37:40 INFO: PRICE NOW: 91401.88 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90593.38
2025-12-08 08:37:41 INFO: PRICE NOW: 91401.88 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90593.38
2025-12-08 08:37:42 INFO: PRICE NOW: 91412.91 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90593.60
2025-12-08 08:37:43 INFO: PRICE NOW: 91412.91 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90593.60
2025-12-08 08:37:44 INFO: PRICE NOW: 91421.17 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90593.76
2025-12-08 08:37:45 INFO: PRICE NOW: 91432.34 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90593.99
2025-12-08 08:37:46 INFO: PRICE NOW: 91436.86 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90594.07
2025-12-08 08:37:47 INFO: PRICE NOW: 91414.04 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90593.62
2025-12-08 08:37:48 INFO: PRICE NOW: 91406.61 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90593.48
