2025-12-13 06:44:05 INFO: Starting scalper for BTCUSDm M1 — 2025-12-13T06:44:05.215565
2025-12-13 06:44:05 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:06 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:07 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:08 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:09 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:10 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:11 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:12 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:13 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:14 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:15 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:16 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:17 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:18 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:19 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:20 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:21 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:22 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:23 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:24 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:25 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:26 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:27 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:28 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:29 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:30 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:31 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:32 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:33 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:34 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:35 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:36 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:37 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:38 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:39 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:40 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:41 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:42 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:43 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
